FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State,geoLat,geoLng,Highway,Spur
33340,"Milwaukee-Waukesha-West Allis, WI",77283,49470,1562220,Milwaukee-Waukesha-West Allis,WI,Milwaukee,WI,43.0389025,-87.9064736,"94,41",
27260,"Jacksonville, FL",52966,38939,1360230,Jacksonville,FL,Jacksonville,FL,30.3321838,-81.655651,"10,95",
32820,"Memphis, TN-MS-AR",55844,42127,1325611,Memphis,TN-MS-AR,Memphis,TN,35.1495343,-90.0489801,"55,40",
31140,"Louisville-Jefferson County, KY-IN",51634,39876,1294864,Louisville-Jefferson County,KY-IN,Louisville,KY,38.2526647,-85.7584557,64,
36420,"Oklahoma City, OK",53509,41868,1278041,Oklahoma City,OK,Oklahoma City,OK,35.4675602,-97.5164276,"35,44,40",
40060,"Richmond, VA",57529,45321,1269367,Richmond,VA,Richmond,VA,37.5407246,-77.4360481,"95,64",
25540,"Hartford-West Hartford-East Hartford, CT",73258,60382,1213242,Hartford-West Hartford-East Hartford,CT,Hartford,CT,41.7637111,-72.6850932,91,
35380,"New Orleans-Metairie-Kenner, LA",66768,56056,1191095,New Orleans-Metairie-Kenner,LA,New Orleans,LA,29.9510658,-90.0715323,"10,55",
39580,"Raleigh-Cary, NC",51903,44609,1163510,Raleigh-Cary,NC,Raleigh,NC,35.7795897,-78.6381787,"40,1064,264",
41620,"Salt Lake City, UT",62595,54625,1145904,Salt Lake City,UT,Salt Lake City,UT,40.7607793,-111.8910474,"80,70",
15380,"Buffalo-Niagara Falls, NY",39774,35073,1134035,Buffalo-Niagara Falls,NY,Buffalo,NY,42.8864468,-78.8783689,1090,
13820,"Birmingham-Hoover, AL",46200,40804,1132242,Birmingham-Hoover,AL,Birmingham,AL,33.5206608,-86.80249,"20,65",
40380,"Rochester, NY",40076,37976,1055298,Rochester,NY,Rochester,NY,43.16103,-77.6109219,1090,
46060,"Tucson, AZ",28060,28356,989561,Tucson,AZ,Tucson,AZ,32.2217429,-110.926479,"10,8",
26180,"Honolulu, HI",44983,46682,963605,Honolulu,HI,Honolulu,HI,21.3069444,-157.8583333,,
46140,"Tulsa, OK",40666,42944,946954,Tulsa,OK,Tulsa,OK,36.1539816,-95.992775,44,
23420,"Fresno, CA",26621,28232,942937,Fresno,CA,Fresno,CA,36.7468422,-119.7725868,5,5
14860,"Bridgeport-Stamford-Norwalk, CT",74869,80861,925898,Bridgeport-Stamford-Norwalk,CT,Bridgeport,CT,41.1865478,-73.1951767,95,
10740,"Albuquerque, NM",34842,38772,898638,Albuquerque,NM,Albuquerque,NM,35.110703,-106.609991,"40,25",
36540,"Omaha-Council Bluffs, NE-IA",42341,48273,877116,Omaha-Council Bluffs,NE-IA,Omaha,NE,41.2523634,-95.9979883,"29,80",
10580,"Albany-Schenectady-Troy, NY",35299,40505,871473,Albany-Schenectady-Troy,NY,Albany,NY,42.6525793,-73.7562317,"1090,1087",
35300,"New Haven-Milford, CT",34390,39936,861128,New Haven-Milford,CT,New Haven,CT,41.308274,-72.9278835,"95,91",
12540,"Bakersfield-Delano, CA",28265,33186,851715,Bakersfield-Delano,CA,Bakersfield,CA,35.3732921,-119.0187125,5,5
19380,`,29744,35184,845384,Dayton,OH,Dayton,OH,39.7589478,-84.1916069,"70,75",
37100,"Oxnard-Thousand Oaks-Ventura, CA",33684,40496,831786,Oxnard-Thousand Oaks-Ventura,CA,Oxnard,CA,34.1975048,-119.1770516,101,
10900,"Allentown-Bethlehem-Easton, PA-NJ",26194,31753,824930,Allentown-Bethlehem-Easton,PA-NJ,Allentown,PA,40.6084305,-75.4901833,"222,78",
21340,"El Paso, TX",24706,30100,820797,El Paso,TX,El Paso,TX,31.7587198,-106.4869314,10,
12940,"Baton Rouge, LA",37644,46575,808245,Baton Rouge,LA,Baton Rouge,LA,30.4582829,-91.1403196,10,
49340,"Worcester, MA",26834,33491,801230,Worcester,MA,Worcester,MA,42.2625932,-71.8022934,1090,
32580,"McAllen-Edinburg-Mission, TX",13252,16611,797785,McAllen-Edinburg-Mission,TX,McAllen,TX,26.2034071,-98.2300124,2,
24340,"Grand Rapids-Wyoming, MI",29637,38016,779593,Grand Rapids-Wyoming,MI,Grand Rapids,MI,42.9633599,-85.6680863,1096,
17900,"Columbia, SC",27765,35728,777122,Columbia,SC,Columbia,SC,34.0007104,-81.0348144,"20,77",
24660,"Greensboro-High Point, NC",30725,42034,730956,Greensboro-High Point,NC,Greensboro,NC,36.0726354,-79.7919754,40,
30780,"Little Rock-North Little Rock-Conway, AR",29080,40964,709892,Little Rock-North Little Rock-Conway,AR,Little Rock,AR,34.7464809,-92.2895948,40,
35840,"North Port-Bradenton-Sarasota, FL",21056,29683,709362,North Port-Bradenton-Sarasota,FL,North Port,FL,27.044224,-82.2359254,75,
28940,"Knoxville, TN",28994,41155,704507,Knoxville,TN,Knoxville,TN,35.9606384,-83.9207392,"75,40,81",
10420,"Akron, OH",24259,34583,701472,Akron,OH,Akron,OH,41.0814447,-81.5190053,"76,1077",
44700,"Stockton, CA",16861,24218,696218,Stockton,CA,Stockton,CA,37.9577016,-121.2907796,"580,5",
44140,"Springfield, MA",20135,29046,693211,Springfield,MA,Springfield,MA,42.1014831,-72.589811,"1090,91",
16700,"Charleston-North Charleston-Summerville, SC",25051,36725,682124,Charleston-North Charleston-Summerville,SC,Charleston,SC,32.7765656,-79.9309216,95,95
39100,"Poughkeepsie-Newburgh-Middletown, NY",20223,30054,672889,Poughkeepsie-Newburgh-Middletown,NY,Poughkeepsie,NY,41.7003713,-73.9209701,1087,
45060,"Syracuse, NY",23762,35865,662540,Syracuse,NY,Syracuse,NY,43.0481221,-76.1474244,"1090,1081",
17820,"Colorado Springs, CO",23907,36205,660323,Colorado Springs,CO,Colorado Springs,CO,38.8338816,-104.8213634,25,
45780,"Toledo, OH",23939,36814,650269,Toledo,OH,Toledo,OH,41.6639383,-83.555212,"1090,75",
24860,"Greenville-Mauldin-Easley, SC",23667,36558,647382,Greenville-Mauldin-Easley,SC,Greenville,SC,34.8526176,-82.3940104,85,
15980,"Cape Coral-Fort Myers, FL",17747,28111,631319,Cape Coral-Fort Myers,FL,Cape Coral,FL,26.5628537,-81.9495331,75,
14260,"Boise City-Nampa, ID",25397,40463,627660,Boise City-Nampa,ID,Boise City,ID,43.6187102,-116.2146068,84,
48620,"Wichita, KS",23875,38167,625540,Wichita,KS,Wichita,KS,37.6888889,-97.3361111,35,
29460,"Lakeland-Winter Haven, FL",14396,23619,609509,Lakeland-Winter Haven,FL,Lakeland,FL,28.0394654,-81.9498042,4,
19780,"Des Moines-West Des Moines, IA",35883,61840,580255,Des Moines-West Des Moines,IA,Des Moines,IA,41.6005448,-93.6091064,80,
31540,"Madison, WI",32163,55794,576460,Madison,WI,Madison,WI,43.0730517,-89.4012302,"94,39",
42540,"Scranton-Wilkes-Barre, PA",17200,30538,563233,Scranton-Wilkes-Barre,PA,Scranton,PA,41.408969,-75.6624122,1081,
49660,"Youngstown-Warren-Boardman, OH-PA",14714,26148,562720,Youngstown-Warren-Boardman,OH-PA,Youngstown,OH,41.0997803,-80.6495194,76,
12260,"Augusta-Richmond County, GA-SC",16980,30221,561861,Augusta-Richmond County,GA-SC,Augusta,GA,33.4734978,-82.0105148,20,
36260,"Ogden-Clearfield, UT",16621,29898,555923,Ogden-Clearfield,UT,Ogden,UT,41.223,-111.9738304,15,
25420,"Harrisburg-Carlisle, PA",24784,44824,552918,Harrisburg-Carlisle,PA,Harrisburg,PA,40.2737002,-76.8844179,"76,83,1081,78",
27140,"Jackson, MS",21602,39609,545381,Jackson,MS,Jackson,MS,32.2987573,-90.1848103,"55,20",
37340,"Palm Bay-Melbourne-Titusville, FL",17324,31871,543566,Palm Bay-Melbourne-Titusville,FL,Palm Bay,FL,28.0344621,-80.5886646,95,
39340,"Provo-Orem, UT",14247,26343,540827,Provo-Orem,UT,Provo,UT,40.2338438,-111.6585337,"15,70",
16860,"Chattanooga, TN-GA",18990,35603,533382,Chattanooga,TN-GA,Chattanooga,TN,35.0456297,-85.3096801,"75,24",
29540,"Lancaster, PA",17399,33229,523609,Lancaster,PA,Lancaster,PA,40.0378755,-76.3055144,"222,30",
33700,"Modesto, CA",13181,25419,518549,Modesto,CA,Modesto,CA,37.6390972,-120.9968782,5,5
38860,"Portland-South Portland-Biddeford, ME",22713,44033,515818,Portland-South Portland-Biddeford,ME,Portland,ME,43.661471,-70.2553259,95,
20500,"Durham-Chapel Hill, NC",37407,72921,512980,Durham-Chapel Hill,NC,Durham,NC,35.9940329,-78.898619,40,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",10335,20887,494805,Deltona-Daytona Beach-Ormond Beach,FL,Daytona Beach,FL,29.2,-81.0333,"95,4",
42220,"Santa Rosa-Petaluma, CA",18070,37019,488128,Santa Rosa-Petaluma,CA,Santa Rosa,CA,38.4404674,-122.7144314,101,
49180,"Winston-Salem, NC",20214,41936,482020,Winston-Salem,NC,Winston,NC,36.1039642,-80.254435,40,
30460,"Lexington-Fayette, KY",20207,42165,479236,Lexington-Fayette,KY,Lexington,KY,38.0405837,-84.5037164,"75,64",
22220,"Fayetteville-Springdale-Rogers, AR-MO",17202,36305,473819,Fayetteville-Springdale-Rogers,AR-MO,Fayetteville,AR,36.0625795,-94.1574263,49,
44060,"Spokane, WA",16291,34387,473755,Spokane,WA,Spokane,WA,47.6587802,-117.4260466,90,
29620,"Lansing-East Lansing, MI",16825,36171,465152,Lansing-East Lansing,MI,Lansing,MI,42.732535,-84.5555347,1096,
37860,"Pensacola-Ferry Pass-Brent, FL",12425,27416,453203,Pensacola-Ferry Pass-Brent,FL,Pensacola,FL,30.421309,-87.2169149,10,
47300,"Visalia-Porterville-Hanford-Corcoran, CA",13482,22357,603021,Visalia-Porterville-Hanford-Corcoran,CA,Visalia,CA,36.3302284,-119.2920585,5,5
44180,"Springfield, MO",13383,30406,440143,Springfield,MO,Springfield,MO,37.2089572,-93.2922989,44,
49620,"York-Hanover, PA",13297,30445,436755,York-Hanover,PA,York,PA,39.9625984,-76.727745,"83,30",
18580,"Corpus Christi, TX",16904,39186,431379,Corpus Christi,TX,Corpus Christi,TX,27.8005828,-97.396381,"37,69",
39900,"Reno-Sparks, NV",17942,41764,429604,Reno-Sparks,NV,Reno,NV,39.5296329,-119.8138027,"395,80",
11700,"Asheville, NC",12535,29218,429016,Asheville,NC,Asheville,NC,35.5950581,-82.5514869,"40,23",
38940,"Port St. Lucie, FL",9617,22476,427879,Port St. Lucie,FL,Port St. Lucie,FL,27.2758333,-80.355,95,
42060,"Santa Barbara-Santa Maria-Goleta, CA",17865,41851,426872,Santa Barbara-Santa Maria-Goleta,CA,Santa Barbara,CA,34.4208305,-119.6981901,101,
26620,"Huntsville, AL",19206,45140,425476,Huntsville,AL,Huntsville,AL,34.7303688,-86.5861037,65,65
22420,"Flint, MI",10173,24101,422099,Flint,MI,Flint,MI,43.0125274,-83.6874562,75,
41500,"Salinas, CA",14568,34530,421894,Salinas,CA,Salinas,CA,36.6777372,-121.6555013,101,
23060,"Fort Wayne, IN",16417,39139,419454,Fort Wayne,IN,Fort Wayne,IN,41.079273,-85.1393513,1069,
46700,"Vallejo-Fairfield, CA",12136,29139,416486,Vallejo-Fairfield,CA,Vallejo,CA,38.1040864,-122.2566367,"80,1029",
15180,"Brownsville-Harlingen, TX",7031,16978,414124,Brownsville-Harlingen,TX,Brownsville,TX,25.9017472,-97.4974838,"69,2",
39740,"Reading, PA",12660,30669,412795,Reading,PA,Reading,PA,40.3356483,-75.9268747,222,
33660,"Mobile, AL",14405,34914,412585,Mobile,AL,Mobile,AL,30.6943566,-88.0430541,"10,65",
28660,"Killeen-Temple-Fort Hood, TX",13723,33342,411583,Killeen-Temple-Fort Hood,TX,Killeen,TX,31.1171194,-97.7277959,35,
15940,"Canton-Massillon, OH",11322,28033,403881,Canton-Massillon,OH,Canton,OH,40.7989473,-81.378447,1077,
43340,"Shreveport-Bossier City, LA",19426,48132,403598,Shreveport-Bossier City,LA,Shreveport,LA,32.5251516,-93.7501789,20,
31700,"Manchester-Nashua, NH",20647,51399,401700,Manchester-Nashua,NH,Manchester,NH,42.9956397,-71.4547891,89,
41420,"Salem, OR",10852,27483,394862,Salem,OR,Salem,OR,44.9428975,-123.0350963,5,
13140,"Beaumont-Port Arthur, TX",17829,45654,390524,Beaumont-Port Arthur,TX,Beaumont,TX,30.080174,-94.1265562,10,
11260,"Anchorage, AK",24375,62901,387514,Anchorage,AK,Anchorage,AK,61.2180556,-149.9002778,,
19340,"Davenport-Moline-Rock Island, IA-IL",15755,41316,381329,Davenport-Moline-Rock Island,IA-IL,Davenport,IA,41.5236437,-90.5776367,"80,55",
37900,"Peoria, IL",17447,45966,379563,Peoria,IL,Peoria,IL,40.6936488,-89.5889864,55,
33860,"Montgomery, AL",12864,33976,378620,Montgomery,AL,Montgomery,AL,32.3668052,-86.2999689,"65,85",
22180,"Fayetteville, NC",15462,41325,374156,Fayetteville,NC,Fayetteville,NC,35.0526641,-78.8783585,"95,87",
45220,"Tallahassee, FL",11619,31424,369749,Tallahassee,FL,Tallahassee,FL,30.4382559,-84.2807329,10,
48900,"Wilmington, NC",12534,33905,369680,Wilmington,NC,Wilmington,NC,34.2257255,-77.9447102,"87,1017",
45940,"Trenton-Ewing, NJ",23400,63750,367059,Trenton-Ewing,NJ,Trenton,NJ,40.2170534,-74.7429384,95,
25860,"Hickory-Lenoir-Morganton, NC",10416,28571,364565,Hickory-Lenoir-Morganton,NC,Hickory,NC,35.7331878,-81.3411974,"40,77",
21780,"Evansville, IN-KY",14302,39740,359889,Evansville,IN-KY,Evansville,IN,37.9715592,-87.5710898,"64,1069",64
42340,"Savannah, GA",11560,32512,355561,Savannah,GA,Savannah,GA,32.0835407,-81.0998342,95,
21660,"Eugene-Springfield, OR",10787,30523,353406,Eugene-Springfield,OR,Eugene,OR,44.0520691,-123.0867536,5,
40420,"Rockford, IL",11340,32553,348355,Rockford,IL,Rockford,IL,42.2711311,-89.0939952,"39,1090",
11460,"Ann Arbor, MI",16434,47228,347972,Ann Arbor,MI,Ann Arbor,MI,42.2808256,-83.7430378,94,
36100,"Ocala, FL",6277,18877,332521,Ocala,FL,Ocala,FL,29.1871986,-82.1400923,75,
28020,"Kalamazoo-Portage, MI",10677,32531,328210,Kalamazoo-Portage,MI,Kalamazoo,MI,42.2917069,-85.5872286,94,
34940,"Naples-Marco Island, FL",11687,35617,328130,Naples-Marco Island,FL,Naples,FL,26.1420358,-81.7948103,75,
43780,"South Bend-Mishawaka, IN-MI",11072,34741,318701,South Bend-Mishawaka,IN-MI,South Bend,IN,41.6763545,-86.2519898,1090,
28700,"Kingsport-Bristol-Bristol, TN-VA",8764,28289,309802,Kingsport-Bristol-Bristol,TN-VA,Kingsport,TN,36.548434,-82.5618186,"81,23",
24580,"Green Bay, WI",13155,42508,309471,Green Bay,WI,Green Bay,WI,44.519159,-88.019826,41,
40220,"Roanoke, VA",11548,37391,308844,Roanoke,VA,Roanoke,VA,37.2709704,-79.9414266,81,
30700,"Lincoln, NE",12865,41973,306507,Lincoln,NE,Lincoln,NE,40.806862,-96.681679,80,
22660,"Fort Collins-Loveland, CO",10847,35501,305541,Fort Collins-Loveland,CO,Fort Collins,CO,40.5852602,-105.084423,"25,34",25
16620,"Charleston, WV",13060,43008,303664,Charleston,WV,Charleston,WV,38.3498195,-81.6326234,64,
17980,"Columbus, GA-AL",10895,36143,301441,Columbus,GA-AL,Columbus,GA,32.4609764,-84.9877094,85,85
22900,"Fort Smith, AR-OK",8485,28276,300078,Fort Smith,AR-OK,Fort Smith,AR,35.3859242,-94.3985475,"40,49",
14500,"Boulder, CO",17866,59676,299383,Boulder,CO,Boulder,CO,40.0149856,-105.2705456,25,25
46540,"Utica-Rome, NY",8017,26861,298462,Utica-Rome,NY,Utica,NY,43.100903,-75.232664,1090,
31180,"Lubbock, TX",9189,31685,290011,Lubbock,TX,Lubbock,TX,33.5778631,-101.8551665,27,
26580,"Huntington-Ashland, WV-KY-OH",8863,30819,287582,Huntington-Ashland,WV-KY-OH,Huntington,WV,38.4192496,-82.445154,64,
43900,"Spartanburg, SC",9177,31991,286862,Spartanburg,SC,Spartanburg,SC,34.9495672,-81.9320482,85,
21500,"Erie, PA",8267,29420,280999,Erie,PA,Erie,PA,42.1292241,-80.085059,1090,
20260,"Duluth, MN-WI",8483,30316,279819,Duluth,MN-WI,Duluth,MN,46.7866719,-92.1004852,1035,
17300,"Clarksville, TN-KY",9648,34744,277688,Clarksville,TN-KY,Clarksville,TN,36.5297706,-87.3594528,1069,
29180,"Lafayette, LA",18248,65805,277304,Lafayette,LA,Lafayette,LA,30.2240897,-92.0198427,10,
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC",8551,30943,276347,Myrtle Beach-North Myrtle Beach-Conway,SC,Myrtle Beach,SC,33.6890603,-78.8866943,20,
12100,"Atlantic City-Hammonton, NJ",11298,41182,274343,Atlantic City-Hammonton,NJ,Atlantic City,NJ,39.3642834,-74.4229266,76,76
35980,"Norwich-New London, CT",11311,41356,273503,Norwich-New London,CT,Norwich,CT,41.5242649,-72.0759105,95,95
42020,"San Luis Obispo-Paso Robles, CA",9288,34149,271985,San Luis Obispo-Paso Robles,CA,San Luis Obispo,CA,35.2827524,-120.6596156,101,
25180,"Hagerstown-Martinsburg, MD-WV",7180,26447,271486,Hagerstown-Martinsburg,MD-WV,Hagerstown,MD,39.6417629,-77.7199932,70,
23540,"Gainesville, FL",9012,33831,266383,Gainesville,FL,Gainesville,FL,29.6516344,-82.3248262,75,
26100,"Holland-Grand Haven, MI",7856,29501,266296,Holland-Grand Haven,MI,Holland,MI,42.7875235,-86.1089301,1096,
42100,"Santa Cruz-Watsonville, CA",8174,30928,264291,Santa Cruz-Watsonville,CA,Santa Cruz,CA,36.9741171,-122.0307963,101,
28420,"Kennewick-Pasco-Richland, WA",9375,35495,264122,Kennewick-Pasco-Richland,WA,Kennewick,WA,46.2112458,-119.1372338,82,
16300,"Cedar Rapids, IA",13348,51227,260566,Cedar Rapids,IA,Cedar Rapids,IA,41.9778795,-91.6656232,380,
32900,"Merced, CA",5132,19747,259888,Merced,CA,Merced,CA,37.3021632,-120.4829677,5,5
24540,"Greeley, CO",6495,25111,258652,Greeley,CO,Greeley,CO,40.4233142,-104.7091322,34,25
36500,"Olympia, WA",7708,30041,256583,Olympia,WA,Olympia,WA,47.0378741,-122.9006951,5,
29700,"Laredo, TX",5694,22198,256510,Laredo,TX,Laredo,TX,27.506407,-99.5075421,"35,2",
14740,"Bremerton-Silverdale, WA",7719,30315,254626,Bremerton-Silverdale,WA,Bremerton,WA,47.5673202,-122.6329356,16,
31340,"Lynchburg, VA",7440,29271,254176,Lynchburg,VA,Lynchburg,VA,37.4137536,-79.1422464,81,
11100,"Amarillo, TX",8815,34730,253815,Amarillo,TX,Amarillo,TX,35.2219971,-101.8312969,"40,27",
25060,"Gulfport-Biloxi, MS",9065,35759,253503,Gulfport-Biloxi,MS,Gulfport,MS,30.3674198,-89.0928155,10,
13780,"Binghamton, NY",7743,30964,250065,Binghamton,NY,Binghamton,NY,42.0986867,-75.9179738,1081,
49420,"Yakima, WA",6435,26039,247129,Yakima,WA,Yakima,WA,46.6020711,-120.5058987,"90,82",90
47380,"Waco, TX",7712,32327,238562,Waco,TX,Waco,TX,31.549333,-97.1466695,"35,6",
45820,"Topeka, KS",8124,34621,234655,Topeka,KS,Topeka,KS,39.0558235,-95.6890185,"70,35",
31420,"Macon, GA",6804,29211,232926,Macon,GA,Macon,GA,32.8406946,-83.6324022,75,
43620,"Sioux Falls, SD",13974,60121,232431,Sioux Falls,SD,Sioux Falls,SD,43.5499749,-96.700327,"29,90",
16580,"Champaign-Urbana, IL",7972,34311,232345,Champaign-Urbana,IL,Champaign,IL,40.1164204,-88.2433829,72,
17780,"College Station-Bryan, TX",6169,26633,231630,College Station-Bryan,TX,College Station,TX,30.627977,-96.3344068,6,
11540,"Appleton, WI",8784,38628,227400,Appleton,WI,Appleton,WI,44.2619309,-88.4153847,41,
46220,"Tuscaloosa, AL",7414,33465,221545,Tuscaloosa,AL,Tuscaloosa,AL,33.2098407,-87.5691735,20,
17020,"Chico, CA",5298,24052,220273,Chico,CA,Chico,CA,39.7284944,-121.8374777,5,5
30980,"Longview, TX",9356,43183,216659,Longview,TX,Longview,TX,32.5007037,-94.7404891,20,
12700,"Barnstable Town, MA",7215,33440,215760,Barnstable Town,MA,Barnstable Town,MA,41.7,-70.3,3,
29740,"Las Cruces, NM",5018,23492,213605,Las Cruces,NM,Las Cruces,NM,32.3199396,-106.7636538,"10,25",
46340,"Tyler, TX",8266,38740,213371,Tyler,TX,Tyler,TX,32.3512601,-95.3010624,20,
15540,"Burlington-South Burlington, VT",10040,47240,212532,Burlington-South Burlington,VT,Burlington,VT,44.4758825,-73.212072,89,
22020,"Fargo, ND-MN",10868,51223,212170,Fargo,ND-MN,Fargo,ND,46.8771863,-96.7898034,"94,29",
39140,"Prescott, AZ",3708,17500,211886,Prescott,AZ,Prescott,AZ,34.5400242,-112.4685025,17,17
44100,"Springfield, IL",8537,40355,211548,Springfield,IL,Springfield,IL,39.7817213,-89.6501481,"55,72",
26380,"Houma-Bayou Cane-Thibodaux, LA",9860,47271,208585,Houma-Bayou Cane-Thibodaux,LA,Houma,LA,29.5957696,-90.7195348,55,
